S1,S2,S3,D
149,128,108,2
161,159,115,3
84,87,57,8
162,150,128,2
73,65,53,7
158,132,85,1
121,126,92,8
111,151,89,5
85,94,103,4
97,105,109,4
141,115,101,2
163,163,117,3
74,137,74,5
108,163,117,0
173,133,96,6
112,151,89,5
40,39,29,3
84,87,64,8
86,94,104,4
108,156,117,0
158,126,97,6
157,162,117,3
159,120,98,6
158,126,97,6
115,159,99,5
149,128,109,2
75,137,80,5
147,129,76,1
174,134,97,6
108,162,117,0
40,30,28,7
116,153,100,5
39,38,28,7
158,138,86,1
39,31,28,7
64,73,54,8
153,129,77,1
97,105,109,4
92,154,108,0
194,193,137,3
147,104,72,6
40,39,29,7
159,126,92,6
74,136,80,5
96,103,102,4
140,114,101,2
146,129,76,1
39,39,29,7
95,103,108,4
116,152,99,5
158,138,85,1
121,120,91,8
163,150,128,2
71,73,54,8
92,154,112,0
92,154,112,0
161,158,114,3
140,114,101,2
168,150,128,2
157,138,85,1
163,150,128,2
140,114,95,2
157,137,85,1
193,201,142,3
91,94,108,4
40,39,29,7
70,67,54,8
136,167,126,0
137,175,126,0
107,162,117,0
95,102,101,4
72,71,53,7
110,149,88,5
71,74,55,8
146,131,88,1
41,39,29,7
113,146,89,5
74,137,80,5
33,32,24,7
193,202,139,3
142,128,109,2
73,71,53,7
101,162,117,0
102,162,118,0
187,202,144,3
143,128,109,2
137,169,126,0
140,114,101,2
162,150,128,2
70,73,54,8
92,101,103,4
116,159,100,5
154,130,77,1
149,127,108,2
40,39,29,7
91,146,111,0
92,154,112,0
164,164,111,3
40,39,29,7
39,38,29,7
174,134,97,6
162,161,115,3
92,148,112,0
84,93,94,4
116,159,91,5
73,72,53,7
153,129,77,1
108,162,117,0
115,159,99,5
108,162,111,0
113,152,89,5
164,164,118,3
149,128,109,2
86,88,104,4
141,107,102,2
92,153,111,0
75,137,81,5
74,136,80,5
91,153,111,0
91,148,112,0
91,100,108,4
193,201,143,3
158,138,85,1
169,134,97,6
188,202,143,3
97,99,109,4
158,138,85,1
86,154,104,0
34,32,24,7
41,39,30,7
116,159,100,5
26,32,23,7
147,96,72,6
169,150,123,2
139,132,88,1
193,201,144,3
113,152,89,5
146,131,89,1
91,153,111,0
40,39,29,7
159,126,98,6
113,152,90,5
164,164,117,3
116,159,94,5
157,137,85,1
74,136,80,5
33,32,24,7
149,127,102,2
73,65,53,7
146,103,72,6
85,93,102,4
85,93,103,4
163,157,117,3
51,95,78,0
108,153,90,5
195,202,144,3
194,202,137,3
168,133,96,6
116,159,100,5
147,129,77,1
146,104,73,6
40,39,28,7
114,153,90,5
160,159,115,3
84,87,64,8
75,137,80,5
145,125,88,1
136,175,120,0
137,175,120,0
116,159,100,5
130,175,126,0
80,94,95,4
159,126,98,6
113,146,90,5
121,126,91,8
168,150,128,2
136,175,126,0
140,132,88,1
158,125,97,6
95,103,108,4
158,132,85,1
96,104,109,4
152,128,76,1
110,149,87,5
91,94,109,4
147,96,72,6
98,105,104,4
86,86,104,4
149,128,108,2
136,175,126,0
92,154,112,0
164,158,118,3
71,74,54,8
70,73,54,8
136,174,119,0
70,72,53,8
